Womxn of the World,5wO97ZsA5pZ44PqPNduL0M,greenreveller
Smirnoff Equalizer Playlist,6JrB3DNLdL5TfSLuNS4jsF,flt2iqj9gtly51rynr1n3vztw
Hear Her,6snF08NyIfav2TTHyC6QIv,stringfellow
50 Great Female Voices,37i9dQZF1DX9loJQLuEvap,spotify
Women of Experimental,37i9dQZF1DWY7uXxMycXfq,spotify
Female Country Artists,1o5KjTSZQwW7JqBEqNPELD,colette_smith27
Female Empowerment,2e1ISDljvBW6SoBnxtXxDV,lolocarlsson
female acoustic covers,0R6AY59NGvXGsIKvnr5qWL,12142495608
Top Female Artists of 2017,37i9dQZF1DX27hx1vGd0BZ,spotify
Women of the Blues,37i9dQZF1DX8QB9Ys2nV17,spotify
Women of Electronic,37i9dQZF1DWSIqiHHMYjiC,spotify
